iter	Passed	Remaining
0	5	3248
1	9	2928
2	14	2863
3	18	2797
4	22	2655
5	25	2552
6	29	2477
7	32	2429
8	36	2372
9	39	2329
10	42	2271
11	45	2215
12	48	2171
13	50	2128
14	53	2093
15	57	2083
16	60	2068
17	63	2047
18	66	2036
19	69	2018
20	72	2010
21	76	2003
22	79	1989
23	82	1974
24	85	1968
25	88	1954
26	91	1951
27	94	1938
28	98	1937
29	101	1927
30	104	1925
31	107	1915
32	110	1904
33	113	1897
34	117	1894
35	120	1892
36	124	1887
37	126	1871
38	129	1861
39	132	1849
40	134	1835
41	137	1829
42	140	1819
43	143	1810
44	146	1803
45	150	1806
46	153	1807
47	156	1802
48	160	1801
49	163	1797
50	166	1794
51	169	1789
52	173	1788
53	176	1789
54	180	1783
55	182	1775
56	185	1769
57	188	1764
58	192	1765
59	196	1764
60	198	1758
61	202	1757
62	206	1756
63	209	1755
64	213	1754
65	215	1747
66	218	1739
67	221	1730
68	224	1724
69	226	1717
70	229	1710
71	232	1707
72	235	1703
73	238	1697
74	241	1691
75	244	1688
76	247	1684
77	250	1678
78	253	1672
79	256	1668
80	259	1663
81	262	1655
82	265	1650
83	267	1645
84	270	1640
85	273	1635
86	277	1634
87	280	1629
88	282	1624
89	285	1618
90	288	1613
91	291	1608
92	294	1605
93	297	1601
94	300	1596
95	302	1589
96	305	1585
97	308	1581
98	311	1578
99	315	1576
100	318	1572
101	321	1567
102	324	1563
103	326	1558
104	329	1553
105	332	1549
106	335	1545
107	338	1540
108	341	1539
109	344	1535
110	347	1531
111	350	1528
112	353	1524
113	356	1520
114	360	1519
115	363	1516
116	367	1516
117	370	1513
118	374	1512
119	377	1510
120	380	1506
121	383	1502
122	386	1500
123	389	1494
124	392	1491
125	395	1486
126	398	1482
127	401	1479
128	403	1474
129	407	1475
130	410	1471
131	413	1467
132	416	1463
133	419	1459
134	422	1455
135	425	1453
136	429	1451
137	432	1449
138	436	1448
139	439	1445
140	443	1442
141	446	1439
142	449	1437
143	453	1435
144	455	1430
145	458	1426
146	461	1423
147	465	1422
148	469	1420
149	472	1417
150	475	1413
151	478	1411
152	484	1414
153	488	1414
154	492	1413
155	495	1411
156	499	1409
157	503	1407
158	506	1404
159	509	1401
160	513	1399
161	516	1395
162	519	1392
163	522	1389
164	525	1384
165	528	1380
166	531	1377
167	533	1372
168	536	1368
169	539	1365
170	542	1361
171	545	1357
172	548	1353
173	551	1351
174	555	1348
175	558	1344
176	560	1340
177	564	1337
178	567	1334
179	570	1331
180	573	1328
181	576	1325
182	579	1321
183	582	1317
184	585	1314
185	588	1310
186	592	1308
187	595	1305
188	598	1302
189	602	1300
190	606	1297
191	608	1293
192	611	1289
193	614	1285
194	617	1281
195	619	1277
196	623	1275
197	626	1272
198	630	1270
199	634	1268
200	637	1266
201	641	1263
202	644	1259
203	647	1256
204	650	1254
205	654	1251
206	657	1248
207	660	1245
208	663	1241
209	666	1238
210	670	1235
211	673	1232
212	677	1230
213	680	1227
214	683	1224
215	686	1220
216	689	1216
217	692	1212
218	695	1209
219	698	1206
220	701	1203
221	705	1200
222	708	1197
223	711	1194
224	714	1190
225	717	1187
226	720	1184
227	724	1181
228	727	1178
229	730	1174
230	733	1171
231	736	1168
232	740	1165
233	743	1163
234	747	1160
235	750	1157
236	753	1154
237	756	1150
238	759	1147
239	762	1144
240	766	1142
241	769	1138
242	773	1136
243	776	1133
244	779	1129
245	783	1126
246	786	1123
247	789	1120
248	793	1117
249	796	1115
250	799	1112
251	803	1109
252	805	1105
253	808	1101
254	812	1099
255	815	1096
256	819	1093
257	822	1090
258	826	1088
259	829	1085
260	833	1082
261	837	1080
262	840	1076
263	843	1073
264	847	1070
265	850	1067
266	853	1064
267	856	1060
268	859	1058
269	862	1054
270	865	1050
271	868	1047
272	872	1044
273	875	1041
274	878	1037
275	881	1034
276	884	1031
277	888	1028
278	891	1025
279	894	1022
280	897	1018
281	900	1015
282	903	1012
283	906	1008
284	909	1005
285	912	1001
286	914	997
287	917	994
288	920	990
289	923	987
290	926	983
291	929	980
292	932	976
293	935	973
294	938	970
295	941	966
296	944	963
297	947	959
298	950	956
299	953	953
300	956	950
301	959	947
302	967	948
303	970	944
304	973	941
305	976	938
306	979	934
307	983	932
308	986	929
309	989	925
310	992	922
311	995	918
312	998	915
313	1001	912
314	1005	909
315	1008	906
316	1012	903
317	1015	900
318	1018	897
319	1021	893
320	1024	890
321	1027	887
322	1030	883
323	1033	880
324	1037	877
325	1040	874
326	1044	872
327	1047	868
328	1050	865
329	1053	861
330	1056	858
331	1059	854
332	1062	852
333	1066	849
334	1069	845
335	1072	842
336	1075	839
337	1078	835
338	1081	832
339	1084	828
340	1087	825
341	1090	822
342	1094	819
343	1097	816
344	1100	813
345	1103	809
346	1106	806
347	1109	803
348	1112	800
349	1115	797
350	1118	793
351	1120	789
352	1123	786
353	1126	783
354	1129	779
355	1132	776
356	1135	772
357	1139	770
358	1142	767
359	1145	763
360	1149	760
361	1152	757
362	1154	753
363	1158	750
364	1161	747
365	1163	744
366	1167	741
367	1170	737
368	1173	734
369	1177	731
370	1180	728
371	1183	725
372	1187	722
373	1190	719
374	1193	716
375	1196	713
376	1199	709
377	1203	706
378	1206	703
379	1209	700
380	1213	697
381	1216	694
382	1218	690
383	1222	687
384	1225	684
385	1228	681
386	1232	678
387	1235	674
388	1238	671
389	1240	668
390	1243	664
391	1246	661
392	1250	658
393	1252	655
394	1255	651
395	1258	648
396	1262	645
397	1265	642
398	1268	639
399	1271	635
400	1274	632
401	1276	628
402	1279	625
403	1281	621
404	1284	618
405	1287	615
406	1290	612
407	1293	608
408	1296	605
409	1299	602
410	1302	599
411	1305	595
412	1308	592
413	1311	589
414	1313	585
415	1316	582
416	1319	579
417	1322	575
418	1325	572
419	1328	569
420	1331	565
421	1335	563
422	1338	559
423	1341	556
424	1344	553
425	1347	550
426	1350	547
427	1354	544
428	1358	541
429	1361	538
430	1366	535
431	1370	532
432	1373	529
433	1375	526
434	1378	522
435	1382	519
436	1385	516
437	1388	513
438	1391	510
439	1395	507
440	1398	504
441	1402	501
442	1405	498
443	1408	494
444	1411	491
445	1415	488
446	1418	485
447	1421	482
448	1424	478
449	1427	475
450	1430	472
451	1433	469
452	1436	466
453	1438	462
454	1441	459
455	1443	455
456	1447	452
457	1450	449
458	1453	446
459	1456	443
460	1458	439
461	1461	436
462	1464	433
463	1468	430
464	1471	427
465	1473	423
466	1476	420
467	1479	417
468	1482	414
469	1485	410
470	1488	407
471	1491	404
472	1494	401
473	1496	397
474	1499	394
475	1502	391
476	1505	388
477	1507	384
478	1510	381
479	1514	378
480	1516	375
481	1519	371
482	1521	368
483	1524	365
484	1527	362
485	1530	358
486	1532	355
487	1535	352
488	1538	349
489	1541	346
490	1544	342
491	1547	339
492	1550	336
493	1553	333
494	1556	330
495	1559	327
496	1563	324
497	1566	320
498	1569	317
499	1572	314
500	1575	311
501	1578	308
502	1581	304
503	1585	301
504	1587	298
505	1590	295
506	1594	292
507	1597	289
508	1600	286
509	1603	282
510	1606	279
511	1609	276
512	1612	273
513	1615	270
514	1618	267
515	1620	263
516	1624	260
517	1627	257
518	1630	254
519	1632	251
520	1635	248
521	1639	244
522	1641	241
523	1645	238
524	1647	235
525	1650	232
526	1653	229
527	1656	225
528	1659	222
529	1662	219
530	1665	216
531	1668	213
532	1671	210
533	1674	206
534	1677	203
535	1680	200
536	1682	197
537	1684	194
538	1687	190
539	1690	187
540	1692	184
541	1695	181
542	1697	178
543	1700	175
544	1703	171
545	1705	168
546	1708	165
547	1711	162
548	1713	159
549	1716	156
550	1718	152
551	1721	149
552	1724	146
553	1727	143
554	1731	140
555	1734	137
556	1737	134
557	1739	130
558	1742	127
559	1745	124
560	1748	121
561	1750	118
562	1753	115
563	1756	112
564	1759	109
565	1762	105
566	1765	102
567	1768	99
568	1771	96
569	1774	93
570	1777	90
571	1780	87
572	1782	84
573	1785	80
574	1788	77
575	1791	74
576	1793	71
577	1796	68
578	1799	65
579	1802	62
580	1805	59
581	1807	55
582	1810	52
583	1813	49
584	1816	46
585	1818	43
586	1821	40
587	1824	37
588	1826	34
589	1829	31
590	1832	27
591	1835	24
592	1837	21
593	1840	18
594	1842	15
595	1846	12
596	1849	9
597	1851	6
598	1854	3
599	1856	0
